model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
oct7_all_entities,-2,0.463,0.288,1.604,0.119,-0.125,1.050,+58.8%,
oct7_all_entities,-1,0.375,0.326,1.153,0.258,-0.288,1.039,+45.5%,
oct7_all_entities,1,0.396,0.236,1.678,0.103,-0.085,0.878,+48.7%,
oct7_all_entities,2,0.302,0.296,1.020,0.316,-0.301,0.905,+35.2%,
oct7_political_parties,-2,1.787,0.402,4.444,0.021,0.507,3.067,+497.0%,**
oct7_political_parties,-1,1.082,0.402,2.691,0.074,-0.198,2.362,+195.1%,*
oct7_political_parties,1,0.408,0.246,1.656,0.196,-0.376,1.192,+50.4%,
oct7_other_orgs_people,-2,0.334,0.300,1.110,0.276,-0.282,0.949,+39.6%,
oct7_other_orgs_people,-1,0.340,0.340,1.001,0.325,-0.356,1.036,+40.5%,
oct7_other_orgs_people,1,0.367,0.248,1.484,0.149,-0.140,0.874,+44.4%,
oct7_other_orgs_people,2,0.252,0.300,0.840,0.408,-0.362,0.866,+28.6%,
